Title,Country,Year,Policy Status,Policy Type,Policy Target
The Australian Centre for Renewable Energy,Australia,2009,Superseded ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Victoria - Creation of a Sustainable Energy Authority,Australia,2000,In Force ,"Policy Support>Institutional creation, Policy Support ",Multiple RE Sources
Victorian Renewable Energy Target,Australia,2007,Ended ,"Economic Instruments>Market-based instruments>Green certificates, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments>Obligation schemes  ","Wind>Onshore, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>Power, Ocean>Tidal, Ocean>Wave, Solar, Solar>Solar photovoltaic, Solar Thermal, Wind, Wind>Offshore"
Austrian Climate Change Strategy,Austria,2007,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Austrian Energy Strategy,Austria,2010,In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
Climate and Energy Fund,Austria,2007 (amended 2009),In Force ,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ","Solar Thermal, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources, Solar>Solar photovoltaic"
Combined Heat and Power Law (CHP Law - KWK Gesetz),Austria,2009,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources>CHP
Energy Strategy of Austria,Austria,2010,In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
Federal Environment Fund,Austria,2001,In Force ,Economic Instruments>Fiscal/financial incentives ,Multiple RE Sources>All
Green book for an integrated energy- and climate strategy,Austria,2016 (June),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
Green Electricity Act,Austria,"2002 (amended 2006, 2007, 2008)",Superseded ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>All
Green Electricity Act 2012,Austria,"2012 July (some parts, § 1, § 23 Abs. 4 und § 56 Abs. 4 entered into force already 31. July 2011)",In Force ,"Economic Instruments>Fiscal/financial incentives>User charges, Policy Support>Strategic planning ","Multiple RE Sources, Hydropower, Wind>Onshore, Bioenergy"
KlimaAktiv: Climate Strategy 2008 - 2012,Austria,2002,Superseded ,Policy Support ,Multiple RE Sources>All
"Klimaschutzgesetz KSG (""law for climate protection"")",Austria,2011,In Force ,"Policy Support, Policy Support>Institutional creation, Policy Support>Strategic planning ",Multiple RE Sources
National Renewable Action Plan (NREAP),Austria,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
RD & D Budget Allocations - 1996,Austria,1996,Ended ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
Renewable Energy Targets,Austria,2000,Superseded ,"Regulatory Instruments>Obligation schemes , Regulatory Instruments ",Multiple RE Sources>All
Targets for renewables: 2007-10 Government programme,Austria,2007,Ended ,Policy Support>Strategic planning ,Multiple RE Sources
Ökostromverordnung (feed-in tariffs) 2010 - ÖSVO 2010,Austria,2010,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources>CHP, Multiple RE Sources>Power, Wind, Wind>Onshore, Solar>Solar photovoltaic"
Ökostromverordnung (feed-in tariffs) 2012 - ÖSVO 2012,Austria,2012,In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources"
Ökostromverordnung 2009 (2009 feed-in tariffs for green electricity),Austria,2009,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources>CHP, Multiple RE Sources>Power, Solar>Solar photovoltaic "
Order of the President of Republic of Azerbaijan on preparation of National Strategy on the use of alternative and RES for 2010-2020,Azerbaijan,2011,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All"
Renewable Energy Target of Azerbaijan,Azerbaijan,2011,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All"
Rules of Issuing Special Permission to Activity Concerning Alternative and Renewable Energy Source,Azerbaijan,2010 (May),In Force ,"Regulatory Instruments>Codes and standards, Regulatory Instruments ","Multiple RE Sources, Multiple RE Sources>All"
State Agency for Alternative and Renewable Energy Sources,Azerbaijan,2009 (July 16th),In Force ,Policy Support>Institutional creation ,"Multiple RE Sources, Multiple RE Sources>All"
The State Program on Use of Alternative and Renewable Energy Sources,Azerbaijan,2004 (October 21st),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All"
Act 2003 establishing Bangladesh Energy Regulatory Commission,Bangladesh,2003 (March 13th),In Force ,"Regulatory Instruments, Policy Support>Institutional creation ",Multiple RE Sources>Power
Policy Guidelines for Small Power Plants in Private Sector,Bangladesh,1996,In Force ,"Policy Support, Regulatory Instruments ",Multiple RE Sources>All
"Private Sector Power Generation Policy of Bangladesh, 1996 ",Bangladesh,1996,In Force ,Policy Support ,Multiple RE Sources>Power
Renewable Energy Policy of Bangladesh ,Bangladesh,2008 (Dec 18th),In Force ,"Regulatory Instruments, Policy Support ","Multiple RE Sources, Multiple RE Sources>All"
Scaling Up Renewable Energy Program for Bangladesh (SREP Bangladesh),Bangladesh,2015 (Oct 11th),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All"
The Sustainable and Renewable Energy Development Authority Act 2012 (creation of the Sustainable and Renewable Energy Development Authority [SREDA]),Bangladesh,2012,In Force ,"Policy Support, Policy Support>Institutional creation ",Multiple RE Sources
Sustainable Energy Framework for Barbados,Barbados,2009,Ended ,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation ",Multiple RE Sources
Feed-in tariffs for renewable energy,Belarus,1994,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources>Power
Law on Renewable Energy Sources,Belarus,2011 (July 5th),In Force ,"Regulatory Instruments, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
National Energy Saving Programme 2006-2010,Belarus,2006,Ended ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>Heating"
National Energy Saving Programme 2011-2015,Belarus,2011,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All, Bioenergy, Geothermal, Hydropower, Solar Thermal, Wind, Solar"
National Program of Local and Renewable Energy Sources Development,Belarus,2011 (May 10th),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Resolution on Feed-in Tariffs for electricity generated from renewable energy sources,Belarus,2011 (June 30),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power, Bioenergy, Geothermal, Hydropower, Solar, Wind"
Tax relief for renewable energy investors,Belarus,2009,In Force ,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives ","Multiple RE Sources, Multiple RE Sources>All"
Access to the Grid (Renewables and CHP),Belgium,2000,In Force ,Regulatory Instruments ,"Multiple RE Sources>Power, Multiple RE Sources>CHP"
Advice and support for building professionals: The Facilitator network,Belgium,2008,In Force ,"Information and Education>Information provision, Information and Education>Advice/Aid in Implementation ","Multiple RE Sources>Heating, Multiple RE Sources>All, Multiple RE Sources>CHP"
AMURE subsidies to support commercial and non commercial companies acting for reducing their energy use and promoting a rational use of energy in the private sector,Belgium,1990 (updated in 2014),In Force ,"Regulatory Instruments>Auditing, Economic Instruments ",Multiple RE Sources>All
Energy Fund - Supported Research - Wallonia,Belgium,2003,In Force ,"Research, Development and Deployment (RD&D), Information and Education>Information provision ","Multiple RE Sources>Power, Multiple RE Sources>CHP, Multiple RE Sources>All, Bioenergy>Co-firing with fossil fuels"
Energy Fund Grants for Small-Scale Heat Generation - Wallonia,Belgium,2005,Superseded ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Bioenergy>Biomass for heat, Solar Thermal, Multiple RE Sources>Renewable heat pumps , Multiple RE Sources>Heating"
Financial support for demonstration projects - Flanders,Belgium,1992,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources
Flemish Government Second Climate Policy Plan,Belgium,2006,Superseded ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources>Power
Green Certificate Scheme - Federal,Belgium,2003 (last amended 2014),In Force ,"Regulatory Instruments>Codes and standards, Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Market-based instruments>Green certificates ","Wind>Onshore, Multiple RE Sources>Power, Multiple RE Sources"
Green Certificates Scheme - Brussels Region,Belgium,,In Force ,Economic Instruments>Market-based instruments>Green certificates ,"Multiple RE Sources, Multiple RE Sources>Power"
Green Certificates Scheme - Flanders,Belgium,2002,In Force ,"Economic Instruments>Market-based instruments>Green certificates, Information and Education, Information and Education>Advice/Aid in Implementation, Economic Instruments>Market-based instruments, Economic Instruments ",Multiple RE Sources>All
Green Certificates Scheme - Wallonia,Belgium,2002,Superseded ,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Strategic planning, Policy Support, Regulatory Instruments, Regulatory Instruments>Monitoring, Regulatory Instruments>Codes and standards ",Multiple RE Sources>All
National Renewable Energy Action Plan (NREAP),Belgium,2010,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Power"
RUE/Electricity Generation Fund,Belgium,1996,Ended ,Economic Instruments>Fiscal/financial incentives ,"Multiple RE Sources>Power, Multiple RE Sources"
Subsidies for companies investing in renewable energy – Wallonia,Belgium,2002,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources>Power, Solar, Wind, Multiple RE Sources, Hydropower, Bioenergy, Bioenergy>Biofuels for transport, Geothermal"
Subsidies for energy in tertiary sector buildings - Brussels region,Belgium,2007,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education>Advice/Aid in Implementation ",Multiple RE Sources
Subsidies for Renewable Energy Investment - Wallonia,Belgium,2005,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Tax relief ",Multiple RE Sources>All
Subsidy scheme for households supporting energy saving measures and housing refurbishment,Belgium,2015 (April 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Geothermal, Bioenergy, Solar Thermal, Multiple RE Sources>Renewable heat pumps , Multiple RE Sources>Heating, Multiple RE Sources>Power"
Tax deduction for investments in energy efficiency & renewable energy by Enterprises,Belgium,1992,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources
Technology Subsidies - Flanders,Belgium,1991,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development, Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
VIREG (the Flemish Agency for the Rational Use of Energy) subsidy,Belgium,1997,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources
Wallonia - Subsidies for Energy Efficiency and Rational Use of Energy in private enterprises (AMURE),Belgium,2002 (Updated in 2014),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Wallonia's 1995 Environment Plan for Sustainable Development,Belgium,1995,Unknown ,Policy Support>Strategic planning ,Multiple RE Sources
Belize National Sustainable Energy Strategy 2012-2033,Belize,2012 (Sep 26th),In Force ,"Economic Instruments>Market-based instruments, Policy Support, Policy Support>Strategic planning ","Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for power, Bioenergy>Biomass for heat, Hydropower, Multiple RE Sources"
Belize Renewable Energy Auctions,Belize,2013,In Force ,"Economic Instruments, Economic Instruments>Market-based instruments, Regulatory Instruments ","Multiple RE Sources, Solar, Wind"
National Energy Plan Framework,Belize,2011,In Force ,Regulatory Instruments ,Multiple RE Sources
Public Utilities Commission established ,Belize,1999,In Force ,"Regulatory Instruments, Policy Support>Institutional creation ",Multiple RE Sources
Bolivia Electric Plan 2020-2025 (Plan del Sector Eléctrico del Estado Plurinacional de Bolivia 2025) ,Bolivia,2014,In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>Power"
Constitutional Reform 2009 ,Bolivia,2009,In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Decentralized Infrastructure for rural Transformation (IDTR) (1st and 2nd phase) ,Bolivia,2003 (last amended 2014),In Force ,"Policy Support, Policy Support>Strategic planning, Economic Instruments>Direct investment ","Multiple RE Sources, Solar>Solar photovoltaic"
Electrificacion Rural con Energias Renovables a traves del Proceso de Participacion Popular,Bolivia,2000,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support ",Multiple RE Sources
